names,values
Myo-Inositol,"[3.2476599999999998, 3.26337, 3.27909, 3.5102, 3.51513, 3.5264599999999997, 3.53139, 3.59168, 3.59326, 3.60894, 3.62446, 4.04169, 4.04661, 4.05156]"
L-Isoleucine,"[0.9146920000000001, 0.927019, 0.939358, 0.992548, 1.00437, 1.21195, 1.22431, 1.22717, 1.23652, 1.23961, 1.24709, 1.25016, 1.25178, 1.25947, 1.2623799999999998, 1.27196, 1.27475, 1.28712, 1.42461, 1.4325299999999999, 1.43695, 1.44486, 1.4492399999999999, 1.45723, 1.4595200000000002, 1.4676200000000001, 1.47195, 1.4798799999999999, 1.48431, 1.49223, 1.93798, 1.9454599999999997, 1.9498099999999998, 1.95304, 1.95715, 1.9614900000000002, 1.96481, 1.96872, 1.97271, 1.9766299999999999, 1.9799099999999998, 1.98425, 1.98839, 1.9916, 1.99596, 2.00346, 3.65421, 3.66094]"
3-Hydroxy-3-methylglutaric acid,"[1.30508, 2.38472, 2.40793, 2.43431, 2.45752]"
L-(+) Lactic acid,"[1.3119999999999998, 1.32355, 4.08368, 4.09521, 4.10682, 4.11839]"
L-Threonine,"[1.30585, 1.3168799999999998, 3.5619699999999996, 3.56987, 4.21465, 4.22567, 4.23385, 4.23654, 4.244730000000001, 4.25571]"
Pyruvic acid,[2.3639900000000003]
Taurine,"[3.24051, 3.25163, 3.2627599999999997, 3.4002800000000004, 3.41137, 3.4224900000000003]"
L-Tryptophan,"[3.27313, 3.28652, 3.2991099999999998, 3.3125, 3.45365, 3.4619699999999995, 3.4796400000000003, 3.4879599999999997, 4.024769999999999, 4.03311, 4.038130000000001, 4.046469999999999, 7.17709, 7.18945, 7.20193, 7.260160000000001, 7.27296, 7.2854399999999995, 7.30355, 7.52181, 7.53492, 7.71433, 7.7270199999999996]"
R-(+)-2-Pyrrolidinone-5-carboxylate,"[2.09659, 2.10554, 2.10784, 2.11144, 2.11801, 2.12033, 2.1226599999999998, 2.12764, 2.1287599999999998, 2.1319, 2.1335900000000003, 2.13793, 2.14312, 2.1442099999999997, 2.15361, 2.37193, 2.38275, 2.3878, 2.40016, 2.40691, 2.41095, 2.41617, 2.4184, 2.42253, 2.4273599999999997, 2.43343, 2.44679, 2.45071, 2.46168, 2.5078099999999997, 2.51876, 2.52351, 2.5295400000000003, 2.5345400000000002, 2.5405, 2.5451, 2.5505400000000003, 2.55669, 2.56072, 2.57238, 4.29499, 4.3040199999999995, 4.31038, 4.31936]"
L-Ornithine,"[1.7103400000000002, 1.71544, 1.7209900000000002, 1.72525, 1.72985, 1.7330299999999998, 1.73835, 1.7433299999999998, 1.74744, 1.75194, 1.75727, 1.76246, 1.7736599999999998, 1.78453, 1.79645, 1.7994599999999998, 1.80667, 1.8096599999999998, 1.81122, 1.8215, 1.8287, 1.8337, 1.84381, 1.87825, 1.89048, 1.8977400000000002, 1.90304, 1.91008, 1.9232200000000002, 1.9356799999999998, 1.9413900000000002, 1.94623, 1.95386, 1.95912, 1.97357, 1.9785700000000002, 3.00909, 3.0300599999999998, 3.04258, 3.05508, 3.07618, 3.7604699999999998, 3.77051, 3.7806]"
Acetylcholine,"[2.13656, 3.21163, 3.69961, 3.70666, 3.7108199999999996, 3.7227699999999997, 3.72784, 3.73078, 3.7360599999999997, 3.75213, 3.75886, 4.5155, 4.52374, 4.5362599999999995, 4.54001, 4.54645, 4.55141, 4.55543, 4.56772, 4.57616]"
Choline,"[3.19497, 3.50584, 3.51389, 3.51692, 3.5220599999999997, 4.04517, 4.050330000000001, 4.05334, 4.06133]"
L-Methionine,"[2.08305, 2.0948, 2.10691, 2.12195, 2.13059, 2.14262, 2.15929, 2.1686900000000002, 2.17272, 2.18218, 2.19604, 2.20622, 2.21026, 2.21964, 2.61658, 2.6291599999999997, 2.6417900000000003, 3.8395099999999998, 3.84899, 3.8510699999999995, 3.86058]"
L-Histidine,"[3.1116599999999996, 3.12425, 3.1383400000000004, 3.15093, 3.21512, 3.22303, 3.2418, 3.2497, 3.9707199999999996, 3.9786900000000003, 3.98325, 3.9912099999999997, 7.06734, 7.8271]"
Citrate,"[2.50831, 2.5334, 2.6313, 2.65639]"
"1,2-Propanediol","[1.12248, 1.1334799999999998, 3.41299, 3.4244, 3.43232, 3.4438199999999997, 3.51614, 3.52316, 3.53548, 3.5425, 3.8414099999999998, 3.8489400000000002, 3.85247, 3.8596199999999996, 3.8635800000000002, 3.87069, 3.87465, 3.8818300000000003, 3.89289]"
Creatine,"[3.0239700000000003, 3.8990099999999996, 3.9201699999999997, 3.9413300000000002]"
Acetic acid,[1.9049599999999998]
L-Glutamic acid,"[2.01605, 2.02773, 2.0295400000000003, 2.04107, 2.05268, 2.06425, 2.06642, 2.07803, 2.09143, 2.0994, 2.10396, 2.10448, 2.1119, 2.1127700000000003, 2.11691, 2.12502, 2.12887, 2.13726, 2.1419799999999998, 2.14994, 2.2969999999999997, 2.3082700000000003, 2.31012, 2.32347, 2.32943, 2.33471, 2.33681, 2.3418099999999997, 2.34327, 2.34824, 2.35563, 2.3698599999999996, 2.3820799999999998, 3.73779, 3.7457800000000003, 3.74969, 3.7576400000000003]"
Acetyl-L-carnitine,"[2.12872, 2.47478, 2.48778, 2.50097, 2.5138599999999998, 2.61355, 2.62296, 2.63973, 2.6490400000000003, 3.18297, 3.5857900000000003, 3.58724, 3.6107699999999996, 3.6122199999999998, 3.825, 3.8396800000000004, 3.84999, 3.86467, 5.579, 5.5804599999999995, 5.593319999999999, 5.6029599999999995, 5.61573, 5.61718]"
L-Arginine,"[1.58995, 1.60191, 1.61352, 1.61804, 1.62487, 1.62966, 1.6358, 1.64156, 1.6455, 1.65373, 1.6566, 1.6638400000000002, 1.6752, 1.68367, 1.6951599999999998, 1.70134, 1.7057400000000003, 1.7127400000000002, 1.7175900000000002, 1.72301, 1.72993, 1.7336599999999998, 1.7418200000000001, 1.7451599999999998, 1.75692, 1.76866, 1.7711299999999999, 1.86493, 1.8747900000000002, 1.8886, 1.8918700000000002, 1.8986, 1.9039, 1.90868, 1.90998, 1.9144599999999998, 1.9203599999999998, 1.92605, 1.93052, 1.9440099999999998, 1.9542099999999998, 3.1995, 3.21107, 3.22503, 3.23658, 3.24812, 3.2621, 3.2738099999999997, 3.7536400000000003, 3.7639199999999997, 3.77419]"
3-Hydroxybutyrate,"[1.18166, 1.19211, 2.2703599999999997, 2.28107, 2.29426, 2.30497, 2.3834299999999997, 2.39553, 2.40733, 2.4194299999999997, 4.11215, 4.12269, 4.13328, 4.14509, 4.15569, 4.16629]"
Methyl 4-aminobutyrate,"[1.91631, 1.9288299999999998, 1.93773, 1.95016, 1.96258, 1.9749400000000001, 1.98765, 1.99663, 2.0085599999999997, 2.49336, 2.51411, 2.52635, 2.53859, 2.55951, 3.0015, 3.0222900000000004, 3.03546, 3.04787, 3.06885, 3.70528]"
L-Asparagine,"[2.82669, 2.83949, 2.85486, 2.8675599999999997, 2.92182, 2.92875, 2.9498900000000003, 2.95692, 3.9811199999999998, 3.9881599999999997, 3.99381, 4.00085]"
L-Proline,"[1.9437200000000001, 1.9557799999999999, 1.96508, 1.96869, 1.97754, 1.98954, 2.00142, 2.0137, 2.02477, 2.03261, 2.04276, 2.05313, 2.06433, 2.07767, 2.08955, 2.27771, 2.28989, 2.2977, 2.30422, 2.30905, 2.3142400000000003, 2.31948, 2.32153, 2.32974, 2.3344099999999997, 2.34266, 2.34488, 2.34786, 2.35635, 2.37023, 3.3017800000000004, 3.31302, 3.32113, 3.32421, 3.33225, 3.3437900000000003, 3.38651, 3.3972, 3.39891, 3.4059, 3.4096900000000003, 3.41629, 3.41819, 3.4290300000000005, 4.10571, 4.11704, 4.121169999999999, 4.13213]"
5-Aminovaleric acid,"[1.59185, 1.59551, 1.60378, 1.6076, 1.61182, 1.61321, 1.61691, 1.61942, 1.62389, 1.63, 1.63198, 1.63687, 1.6387599999999998, 1.64045, 1.6425, 1.6469, 1.64887, 1.65493, 1.6591900000000002, 1.66225, 1.6658, 1.67113, 1.67462, 1.68297, 1.68619, 2.18605, 2.19095, 2.2095599999999997, 2.22126, 2.2330400000000004, 2.2513099999999997, 2.25635]"
