ppms,values
-3.1809805315087356,156.8359375
-3.1804914781999605,-10.3125
-3.1800024248911853,104.2578125
-3.17951337158241,184.80078125
-3.179024318273635,-311.78125
-3.17853526496486,258.04296875
-3.178046211656085,51.609375
-3.1775571583473097,-102.3515625
-3.1770681050385345,194.640625
-3.1765790517297594,127.9375
-3.1760899984209843,-80.7890625
-3.175600945112209,355.48046875
-3.175111891803434,7.2578125
-3.174622838494659,-31.83984375
-3.1741337851858837,76.3046875
-3.1736447318771086,-238.6484375
-3.1731556785683335,179.609375
-3.1726666252595583,124.5
-3.172177571950783,-386.52734375
-3.171688518642008,-345.21875
-3.171199465333233,-149.81640625
-3.170710412024458,-122.2265625
-3.1702213587156827,-193.98046875
-3.1697323054069075,-194.8828125
-3.1692432520981324,-86.57421875
-3.1687541987893573,14.1953125
-3.168265145480582,-55.796875
-3.167776092171807,-77.25390625
-3.167287038863032,86.671875
-3.1667979855542567,-88.97265625
-3.1663089322454816,184.90234375
-3.1658198789367065,-217.30859375
-3.1653308256279313,-27.52734375
-3.164841772319156,199.68359375
-3.164352719010381,150.34375
-3.163863665701606,-218.1328125
-3.163374612392831,-128.74609375
-3.1628855590840557,178.125
-3.1623965057752805,96.46484375
-3.1619074524665054,-407.328125
-3.1614183991577303,-121.08984375
-3.160929345848955,80.58984375
-3.16044029254018,-180.14453125
-3.159951239231405,76.375
-3.1594621859226297,-211.9609375
-3.1589731326138546,31.9921875
-3.1584840793050795,-526.41796875
-3.1579950259963043,-178.8046875
-3.157505972687529,17.3671875
-3.157016919378754,-18.53515625
-3.156527866069979,-37.64453125
-3.156038812761204,64.89453125
-3.1555497594524287,347.51953125
-3.1550607061436535,143.7265625
-3.1545716528348784,-122.1875
-3.1540825995261033,-29.74609375
-3.153593546217328,-188.94921875
-3.153104492908553,243.0078125
-3.152615439599778,-499.09765625
-3.1521263862910027,311.48828125
-3.1516373329822276,104.3984375
-3.1511482796734525,-443.08984375
-3.1506592263646773,245.95703125
-3.150170173055902,107.86328125
-3.149681119747127,-78.421875
-3.149192066438352,90.07421875
-3.148703013129577,67.31640625
-3.1482139598208017,-346.76953125
-3.1477249065120265,53.34375
-3.1472358532032514,-98.33203125
-3.1467467998944763,7.67578125
-3.146257746585701,78.6796875
-3.145768693276926,-292.3515625
-3.145279639968151,334.21875
-3.1447905866593757,171.0546875
-3.1443015333506006,-127.05078125
-3.1438124800418255,-266.71484375
-3.1433234267330503,-324.453125
-3.142834373424275,36.6953125
-3.1423453201155,-177.203125
-3.141856266806725,-34.609375
-3.14136721349795,-134.33203125
-3.1408781601891747,257.328125
-3.1403891068803995,-47.37890625
-3.1399000535716244,96.21484375
-3.1394110002628492,-110.08984375
-3.138921946954074,-164.7578125
-3.138432893645299,-10.5859375
-3.137943840336524,-179.21484375
-3.1374547870277487,260.171875
-3.1369657337189736,214.29296875
-3.1364766804101984,-75.92578125
-3.1359876271014233,-229.70703125
-3.135498573792648,342.6875
-3.135009520483873,-148.765625
-3.134520467175098,260.87109375
-3.134031413866323,110.30078125
-3.1335423605575476,-191.703125
-3.1330533072487725,-101.9375
-3.1325642539399974,17.94140625
-3.1320752006312222,192.59375
-3.131586147322447,-162.25
-3.131097094013672,-280.4453125
-3.130608040704897,-213.12109375
-3.1301189873961217,56.79296875
-3.1296299340873466,-190.61328125
-3.1291408807785714,-205.328125
-3.1286518274697963,-367.3125
-3.128162774161021,-238.94921875
-3.127673720852246,-146.328125
-3.127184667543471,-236.0703125
-3.1266956142346958,-388.6328125
-3.1262065609259206,123.69921875
-3.1257175076171455,-406.328125
-3.1252284543083704,-0.83984375
-3.1247394009995952,-5.703125
-3.12425034769082,-242.53125
-3.123761294382045,223.18359375
-3.12327224107327,-226.42578125
-3.1227831877644947,-434.140625
-3.1222941344557196,-251.203125
-3.1218050811469444,392.66015625
-3.1213160278381693,88.94140625
-3.120826974529394,-129.87109375
-3.120337921220619,-44.63671875
-3.119848867911844,-54.60546875
-3.1193598146030688,-125.48046875
-3.1188707612942936,177.12890625
-3.1183817079855185,54.1640625
-3.1178926546767434,-284.12890625
-3.1174036013679682,-307.4765625
-3.116914548059193,-112.796875
-3.116425494750418,-61.38671875
-3.115936441441643,35.56640625
-3.1154473881328677,-110.72265625
-3.1149583348240926,-422.6875
-3.1144692815153174,19.8125
-3.1139802282065423,-335.02734375
-3.113491174897767,-100.8671875
-3.113002121588992,65.53125
-3.112513068280217,104.66015625
-3.1120240149714418,208.53515625
-3.1115349616626666,145.97265625
-3.1110459083538915,230.90625
-3.1105568550451164,-492.8046875
-3.1100678017363412,-10.984375
-3.109578748427566,-156.234375
-3.109089695118791,429.84765625
-3.108600641810016,66.19921875
-3.1081115885012407,-236.55859375
-3.1076225351924656,176.74609375
-3.1071334818836904,-261.23828125
-3.1066444285749153,-50.34765625
-3.10615537526614,-426.0390625
-3.105666321957365,125.13671875
-3.10517726864859,3.234375
-3.1046882153398148,-305.9609375
-3.1041991620310396,28.94140625
-3.1037101087222645,463.23046875
-3.1032210554134894,-202.66015625
-3.1027320021047142,-362.36328125
-3.102242948795939,-510.59765625
-3.101753895487164,192.609375
-3.101264842178389,-77.2890625
-3.1007757888696137,-348.484375
-3.1002867355608386,250.79296875
-3.0997976822520634,-386.5078125
-3.0993086289432883,-253.25390625
-3.098819575634513,343.1640625
-3.098330522325738,-91.37109375
-3.097841469016963,281.73046875
-3.0973524157081878,-545.78125
-3.0968633623994126,-22.0859375
-3.0963743090906375,114.2734375
-3.0958852557818624,-0.65234375
-3.095396202473087,-303.69140625
-3.094907149164312,-163.41015625
-3.094418095855537,-414.6015625
-3.093929042546762,-76.09375
-3.0934399892379867,-50.07421875
-3.0929509359292116,-339.58984375
-3.0924618826204364,130.94921875
-3.0919728293116613,53.015625
-3.091483776002886,307.453125
-3.090994722694111,350.1640625
-3.090505669385336,-408.99609375
-3.0900166160765608,-27.00390625
-3.0895275627677856,-451.5859375
-3.0890385094590105,-394.1484375
-3.0885494561502354,30.12109375
-3.08806040284146,-89.2734375
-3.087571349532685,-520.83203125
-3.08708229622391,-650.1875
-3.086593242915135,-339.8984375
-3.0861041896063597,126.0546875
-3.0856151362975845,-41.29296875
-3.0851260829888094,-58.84765625
-3.0846370296800343,267.98828125
-3.084147976371259,5.8046875
-3.083658923062484,-6.0546875
-3.083169869753709,-311.03125
-3.0826808164449337,-224.0390625
-3.0821917631361586,371.3125
-3.0817027098273835,-413.9453125
-3.0812136565186083,-477.58203125
-3.080724603209833,-93.55078125
-3.080235549901058,197.03125
-3.079746496592283,25.921875
-3.079257443283508,261.1328125
-3.0787683899747327,89.02734375
-3.0782793366659575,90.8828125
-3.0777902833571824,208.31640625
-3.0773012300484073,-235.67578125
-3.076812176739632,265.546875
-3.076323123430857,141.55078125
-3.075834070122082,-517.78515625
-3.0753450168133067,-346.03515625
-3.0748559635045316,356.5390625
-3.0743669101957565,2.2265625
-3.0738778568869813,-540.1328125
-3.073388803578206,107.1328125
-3.072899750269431,272.2109375
-3.072410696960656,-92.18359375
-3.071921643651881,261.49609375
-3.0714325903431057,-107.65625
-3.0709435370343305,226.296875
-3.0704544837255554,-179.4296875
-3.0699654304167803,151.91796875
-3.069476377108005,-190.12109375
-3.06898732379923,-68.359375
-3.068498270490455,-58.65625
-3.0680092171816797,-210.6015625
-3.0675201638729046,81.66796875
-3.0670311105641295,-391.19140625
-3.0665420572553543,-463.2421875
-3.066053003946579,-206.56640625
-3.065563950637804,211.16015625
-3.065074897329029,326.11328125
-3.064585844020254,-66.83203125
-3.0640967907114787,-243.13671875
-3.0636077374027035,261.0078125
-3.0631186840939284,324.31640625
-3.0626296307851533,-388.02734375
-3.062140577476378,-227.37890625
-3.061651524167603,64.828125
-3.061162470858828,-137.76953125
-3.0606734175500527,-83.81640625
-3.0601843642412776,-44.24609375
-3.0596953109325025,-113.5390625
-3.0592062576237273,-500.54296875
-3.058717204314952,-229.32421875
-3.058228151006177,-504.83203125
-3.057739097697402,33.96484375
-3.057250044388627,139.3984375
-3.0567609910798517,183.4375
-3.0562719377710765,102.171875
-3.0557828844623014,-443.44921875
-3.0552938311535263,-132.21484375
-3.054804777844751,-230.328125
-3.054315724535976,-618.40625
-3.053826671227201,95.00390625
-3.0533376179184257,133.65234375
-3.0528485646096506,257.0859375
-3.0523595113008755,-19.15625
-3.0518704579921003,119.88671875
-3.051381404683325,173.3125
-3.05089235137455,-56.5625
-3.050403298065775,-317.515625
-3.049914244757,-94.609375
-3.0494251914482247,-49.48046875
-3.0489361381394495,213.0625
-3.0484470848306744,-227.59375
-3.0479580315218993,-137.890625
-3.047468978213124,-140.59375
-3.046979924904349,-130.41015625
-3.046490871595574,338.140625
-3.0460018182867987,193.41796875
-3.0455127649780236,-226.53125
-3.0450237116692485,-74.75390625
-3.0445346583604733,352.765625
-3.044045605051698,-139.15625
-3.043556551742923,-237.55859375
-3.043067498434148,222.19140625
-3.042578445125373,9.45703125
-3.0420893918165977,-232.9609375
-3.0416003385078225,-102.4296875
-3.0411112851990474,-386.6953125
-3.0406222318902723,-29.625
-3.040133178581497,89.11328125
-3.039644125272722,134.015625
-3.039155071963947,31.6796875
-3.0386660186551717,-8.30078125
-3.0381769653463966,193.33203125
-3.0376879120376215,-148.80078125
-3.0371988587288463,163.8671875
-3.036709805420071,55.20703125
-3.036220752111296,-138.40625
-3.035731698802521,114.84375
-3.035242645493746,-61.44140625
-3.0347535921849706,-11.23046875
-3.0342645388761955,-414.71875
-3.0337754855674204,113.39453125
-3.0332864322586452,-45.234375
-3.03279737894987,-321.80859375
-3.032308325641095,-462.4140625
-3.03181927233232,-105.99609375
-3.0313302190235447,11.87890625
-3.0308411657147696,21.421875
-3.0303521124059944,-83.5703125
-3.0298630590972193,-2.8984375
-3.029374005788444,52.5390625
-3.028884952479669,-373.95703125
-3.028395899170894,104.41796875
-3.027906845862119,-108.41796875
-3.0274177925533436,130.1328125
-3.0269287392445685,0.765625
-3.0264396859357934,-21.46875
-3.0259506326270182,83.765625
-3.025461579318243,60.61328125
-3.024972526009468,132.9375
-3.024483472700693,-108.21484375
-3.0239944193919177,-188.75
-3.0235053660831426,-152.7421875
-3.0230163127743674,-237.61328125
-3.0225272594655923,-33.47265625
-3.022038206156817,-205.78515625
-3.021549152848042,-189.22265625
-3.021060099539267,56.5625
-3.0205710462304918,195.515625
-3.0200819929217166,14.44921875
-3.0195929396129415,-97.41015625
-3.0191038863041664,47.76953125
-3.0186148329953912,3.5078125
-3.018125779686616,-15.3671875
-3.017636726377841,55.47265625
-3.017147673069066,195.92578125
-3.0166586197602907,-46.29296875
-3.0161695664515156,-333.62109375
-3.0156805131427404,-16.46875
-3.0151914598339653,213.87890625
-3.01470240652519,-97.8203125
-3.014213353216415,-171.3671875
-3.01372429990764,-498.0234375
-3.0132352465988648,-616.109375
-3.0127461932900896,-42.83984375
-3.0122571399813145,556.828125
-3.0117680866725394,-267.1640625
-3.0112790333637642,530.4296875
-3.010789980054989,-381.2734375
-3.010300926746214,356.91015625
-3.009811873437439,345.5234375
-3.0093228201286637,103.2421875
-3.0088337668198886,247.70703125
-3.0083447135111134,-333.87890625
-3.0078556602023383,-124.84765625
-3.007366606893563,157.4140625
-3.006877553584788,19.6953125
-3.006388500276013,-20.359375
-3.0058994469672378,409.33203125
-3.0054103936584626,112.7734375
-3.0049213403496875,340.8359375
-3.0044322870409124,417.69140625
-3.0039432337321372,27.83203125
-3.003454180423362,-16.39453125
-3.002965127114587,92.12109375
-3.002476073805812,-280.125
-3.0019870204970367,-5.99609375
-3.0014979671882616,-103.45703125
-3.0010089138794864,344.0859375
-3.0005198605707113,281.66796875
-3.000030807261936,595.34765625
-2.999541753953161,-141.33984375
-2.999052700644386,-174.97265625
-2.9985636473356108,47.453125
-2.9980745940268356,-514.87890625
-2.9975855407180605,252.55078125
-2.9970964874092854,-394.4375
-2.9966074341005102,-352.69140625
-2.996118380791735,138.09375
-2.99562932748296,80.54296875
-2.995140274174185,-133.63671875
-2.9946512208654097,-78.25390625
-2.9941621675566346,27.08984375
-2.9936731142478594,-105.93359375
-2.9931840609390843,-227.9765625
-2.992695007630309,-51.42578125
-2.992205954321534,-229.12109375
-2.991716901012759,-324.6484375
-2.9912278477039838,275.66796875
-2.9907387943952086,-79.421875
-2.9902497410864335,-25.36328125
-2.9897606877776584,52.37109375
-2.989271634468883,21.63671875
-2.988782581160108,181.2578125
-2.988293527851333,-89.0703125
-2.987804474542558,193.8828125
-2.9873154212337827,350.75
-2.9868263679250076,53.85546875
-2.9863373146162324,-140.6484375
-2.9858482613074573,70.05078125
-2.985359207998682,160.29296875
-2.984870154689907,310.703125
-2.984381101381132,-147.41015625
-2.9838920480723568,429.65625
-2.9834029947635816,-202.39453125
-2.9829139414548065,329.8203125
-2.9824248881460313,56.3984375
-2.981935834837256,-441.96484375
-2.981446781528481,273.69921875
-2.980957728219706,-390.0
-2.980468674910931,147.484375
-2.9799796216021557,180.97265625
-2.9794905682933805,183.9609375
-2.9790015149846054,-140.56640625
-2.9785124616758303,8.390625
-2.978023408367055,-280.5234375
-2.97753435505828,305.92578125
-2.977045301749505,98.23828125
-2.9765562484407297,41.9296875
-2.9760671951319546,15.7890625
-2.9755781418231795,-27.46484375
-2.9750890885144043,217.69921875
-2.974600035205629,-53.65234375
-2.974110981896854,-195.1015625
-2.973621928588079,136.828125
-2.973132875279304,-550.8984375
-2.9726438219705287,-8.74609375
-2.9721547686617535,-14.5546875
-2.9716657153529784,-337.83984375
-2.9711766620442033,-399.28125
-2.970687608735428,-426.28125
-2.970198555426653,-396.39453125
-2.969709502117878,-202.0078125
-2.9692204488091027,762.765625
-2.9687313955003276,-2.703125
-2.9682423421915525,685.125
-2.9677532888827773,-146.24609375
-2.967264235574002,272.3515625
-2.966775182265227,-109.609375
-2.966286128956452,-114.76171875
-2.965797075647677,-236.921875
-2.9653080223389017,-79.7734375
-2.9648189690301265,-134.2265625
-2.9643299157213514,-168.81640625
-2.9638408624125763,383.44140625
-2.963351809103801,453.55078125
-2.962862755795026,424.7890625
-2.962373702486251,-15.5625
-2.9618846491774757,94.00390625
-2.9613955958687006,186.8046875
-2.9609065425599255,412.67578125
-2.9604174892511503,-906.98046875
-2.959928435942375,-265.88671875
-2.9594393826336,90.6796875
-2.958950329324825,-304.21875
-2.95846127601605,-101.79296875
-2.9579722227072747,-530.0546875
-2.9574831693984995,78.78125
-2.9569941160897244,-606.234375
-2.9565050627809493,-91.1640625
-2.956016009472174,-55.4296875
-2.955526956163399,-165.0625
-2.955037902854624,16.10546875
-2.9545488495458487,-75.3359375
-2.9540597962370736,146.3046875
-2.9535707429282985,-135.8359375
-2.9530816896195233,-353.4296875
-2.952592636310748,-338.671875
-2.952103583001973,-45.35546875
-2.951614529693198,-340.66796875
-2.951125476384423,366.8984375
-2.9506364230756477,-337.50390625
-2.9501473697668725,147.55859375
-2.9496583164580974,223.23046875
-2.9491692631493223,-118.80859375
-2.948680209840547,-697.77734375
-2.948191156531772,-262.34375
-2.947702103222997,-384.0859375
-2.9472130499142217,-613.62109375
-2.9467239966054466,-348.19921875
-2.9462349432966715,-143.47265625
-2.9457458899878963,99.41796875
